Bill Number,Title,Summary,Sponsor,Cosponsors (Overview),Cosponsor List,Introduced,Status,Prognosis,Source URL,Committees,Vote Type,Vote Date,Vote Result,Related Bills,Subjects
HR380,H.R. 380 (118th): Federal Student Loan Integrity Act,"To prohibit abuse of the authority of the Secretary of Education under the HEROES Act in connection with the COVID-19 national emergency declaration, and for other purposes.",Robert “Bob” Good,Cosponsors,"Good, Robert “Bob” [R-VA5, 2021-2024], Miller, Mary [R-IL15, 2021-2026], McClintock, Tom [R-CA5, 2023-2026], Donalds, Byron [R-FL19, 2021-2026], Roy, Chip [R-TX21, 2019-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr380,House Education and Workforce,,Introduced,"Last Action: Mar 11, 2022",", H.R. 7058 (117th)","Education, Cardiovascular and respiratory health, Emergency medical services and trauma care, Government lending and loan guarantees, show 3 more, Higher education, Infectious and parasitic diseases, Student aid and college costs, show less"
HR381,H.R. 381 (118th): PISTOL Act,"To amend the Internal Revenue Code of 1986 to update the definition of rifles, and for other purposes.",Robert “Bob” Good,Cosponsors,"Good, Robert “Bob” [R-VA5, 2021-2024], Biggs, Andy [R-AZ5, 2017-2026], Grothman, Glenn [R-WI6, 2015-2026], Gaetz, Matt [R-FL1, 2017-2024], Gosar, Paul [R-AZ9, 2023-2026], Harshbarger, Diana [R-TN1, 2021-2026], Wittman, Robert [R-VA1, 2007-2026], Harris, Andy [R-MD1, 2011-2026], Weber, Randy [R-TX14, 2013-2026], Fulcher, Russ [R-ID1, 2019-2026], Rutherford, John [R-FL5, 2023-2026], Banks, Jim [R-IN3, 2017-2024], Carter, John R. [R-TX31, 2003-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr381,House Judiciary,,Introduced,"Last Action: Jun 11, 2021",", H.R. 3823 (117th)",Taxation
HR382,H.R. 382 (118th): Pandemic is Over Act,To terminate the public health emergency declared with respect to COVID-19.,Brett Guthrie,Cosponsors,"Guthrie, Brett [R-KY2, 2009-2026], Bilirakis, Gus [R-FL12, 2013-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], Crenshaw, Dan [R-TX2, 2019-2026], Dunn, Neal [R-FL2, 2017-2026], Griffith, Morgan [R-VA9, 2011-2026], Hudson, Richard [R-NC9, 2023-2026], Joyce, John [R-PA13, 2019-2026], Latta, Robert [R-OH5, 2007-2026], Palmer, Gary [R-AL6, 2015-2026], Balderson, Troy [R-OH12, 2018-2026], Cammack, Katherine “Kat” [R-FL3, 2021-2026], Fry, Russell [R-SC7, 2023-2026], Fulcher, Russ [R-ID1, 2019-2026], Miller-Meeks, Mariannette [R-IA1, 2023-2026], Weber, Randy [R-TX14, 2013-2026], Bucshon, Larry [R-IN8, 2011-2024], Burgess, Michael [R-TX26, 2003-2024], Curtis, John [R-UT3, 2017-2024], Duncan, Jeff [R-SC3, 2011-2024], McMorris Rodgers, Cathy [R-WA5, 2005-2024], Pence, Greg [R-IN6, 2019-2024], Buchanan, Vern [R-FL16, 2013-2026], Scott, Austin [R-GA8, 2011-2026], Sessions, Pete [R-TX17, 2021-2026], Carl, Jerry [R-AL1, 2021-2024], Barr, Garland “Andy” [R-KY6, 2013-2026], Boebert, Lauren [R-CO3, 2021-2024], Cline, Ben [R-VA6, 2019-2026], Duarte, John [R-CA13, 2023-2024], Ezell, Mike [R-MS4, 2023-2026], Gallagher, Mike [R-WI8, 2017-2024], Gosar, Paul [R-AZ9, 2023-2026], Grothman, Glenn [R-WI6, 2015-2026], Hunt, Wesley [R-TX38, 2023-2026], Mann, Tracey [R-KS1, 2021-2026], Moolenaar, John [R-MI2, 2023-2026], Rutherford, John [R-FL5, 2023-2026], Tenney, Claudia [R-NY24, 2023-2026], Timmons, William [R-SC4, 2019-2026], Ellzey, Jake [R-TX6, 2021-2026], Ferguson, Drew [R-GA3, 2017-2024], Kiley, Kevin [R-CA3, 2023-2026], Smith, Christopher “Chris” [R-NJ4, 1981-2026], Yakym, Rudy [R-IN2, 2022-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Passed House (Senate next) (Jan 31, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr382,"House Energy and Commerce, ↪, Health",On Motion to Recommit: H.R. 382: To terminate the public health emergency declared with respect to COVID-19.,"Jan 31, 2023 5:21 p.m.",Failed 210/220,", H.Res. 75","Health, Cardiovascular and respiratory health, Emergency medical services and trauma care, Infectious and parasitic diseases"
HR383,"H.R. 383 (118th): To nullify the modifications made by the Food and Drug Administration in January 2023 to the risk evaluation and mitigation strategy for the abortion pill mifepristone, and for other purposes.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Diana Harshbarger,Cosponsors,"Harshbarger, Diana [R-TN1, 2021-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], Weber, Randy [R-TX14, 2013-2026], Baird, James [R-IN4, 2019-2026], Banks, Jim [R-IN3, 2017-2024], Duncan, Jeff [R-SC3, 2011-2024], Feenstra, Randy [R-IA4, 2021-2026], Gosar, Paul [R-AZ9, 2023-2026], Hern, Kevin [R-OK1, 2018-2026], Jackson, Ronny [R-TX13, 2021-2026], Lamborn, Doug [R-CO5, 2007-2024], Miller, Mary [R-IL15, 2021-2026], Smith, Christopher “Chris” [R-NJ4, 1981-2026], Webster, Daniel [R-FL11, 2017-2026], Boebert, Lauren [R-CO3, 2021-2024], Flood, Mike [R-NE1, 2022-2026], Grothman, Glenn [R-WI6, 2015-2026], Moolenaar, John [R-MI2, 2023-2026], Sessions, Pete [R-TX17, 2021-2026], Bost, Mike [R-IL12, 2015-2026], Gonzales, Ernest “Tony” [R-TX23, 2021-2026], Mast, Brian [R-FL21, 2023-2026], Yakym, Rudy [R-IN2, 2022-2026], Guest, Michael [R-MS3, 2019-2026], Luna, Anna [R-FL13, 2023-2026], Higgins, Clay [R-LA3, 2017-2026], Aderholt, Robert [R-AL4, 1997-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Jan 23, 2025)",N/A,https://www.govtrack.us/congress/bills/118/hr383,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: Jan 23, 2025",", H.R. 679 (119th)",Health
HR384,H.R. 384 (118th): Protecting Life from Chemical Abortions Act,"To prohibit the use or declaration of a public health emergency with respect to abortion, and for other purposes.",Kevin Hern,Cosponsors,"Hern, Kevin [R-OK1, 2018-2026], Fry, Russell [R-SC7, 2023-2026], Harshbarger, Diana [R-TN1, 2021-2026], Langworthy, Nicholas [R-NY23, 2023-2026], Pfluger, August [R-TX11, 2021-2026], Weber, Randy [R-TX14, 2013-2026], Crenshaw, Dan [R-TX2, 2019-2026], Aderholt, Robert [R-AL4, 1997-2026], Babin, Brian [R-TX36, 2015-2026], Baird, James [R-IN4, 2019-2026], Banks, Jim [R-IN3, 2017-2024], Boebert, Lauren [R-CO3, 2021-2024], Cline, Ben [R-VA6, 2019-2026], Clyde, Andrew [R-GA9, 2021-2026], Duncan, Jeff [R-SC3, 2011-2024], Ellzey, Jake [R-TX6, 2021-2026], Feenstra, Randy [R-IA4, 2021-2026], Finstad, Brad [R-MN1, 2022-2026], Gosar, Paul [R-AZ9, 2023-2026], Green, Mark E. [R-TN7, 2019-2026], Grothman, Glenn [R-WI6, 2015-2026], Guest, Michael [R-MS3, 2019-2026], Hinson, Ashley [R-IA2, 2023-2026], Jackson, Ronny [R-TX13, 2021-2026], Kelly, Trent [R-MS1, 2015-2026], LaMalfa, Doug [R-CA1, 2013-2026], Lamborn, Doug [R-CO5, 2007-2024], Loudermilk, Barry [R-GA11, 2015-2026], Mast, Brian [R-FL21, 2023-2026], Miller, Mary [R-IL15, 2021-2026], Moolenaar, John [R-MI2, 2023-2026], Rose, John W. [R-TN6, 2019-2026], Rutherford, John [R-FL5, 2023-2026], Sessions, Pete [R-TX17, 2021-2026], Webster, Daniel [R-FL11, 2017-2026], Wenstrup, Brad [R-OH2, 2013-2024], Bost, Mike [R-IL12, 2015-2026], Good, Robert “Bob” [R-VA5, 2021-2024], Self, Keith [R-TX3, 2023-2026], Yakym, Rudy [R-IN2, 2022-2026], Newhouse, Dan [R-WA4, 2015-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr384,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: Dec 21, 2022",", H.R. 9657 (117th)",Health
HR385,H.R. 385 (118th): No User Fees for Gun Owners Act,"To ban the imposition of any State or local liability insurance, tax, or user fee requirement for firearm or ammunition ownership or commerce.",Ronny Jackson,Cosponsors,"Jackson, Ronny [R-TX13, 2021-2026], Gooden, Lance [R-TX5, 2019-2026], Cline, Ben [R-VA6, 2019-2026], Feenstra, Randy [R-IA4, 2021-2026], Steube, Gregory [R-FL17, 2019-2026], Van Duyne, Beth [R-TX24, 2021-2026], Smith, Adrian [R-NE3, 2007-2026], Babin, Brian [R-TX36, 2015-2026], Bacon, Don [R-NE2, 2017-2026], Buck, Ken [R-CO4, 2015-2024], Crawford, Eric “Rick” [R-AR1, 2011-2026], Crenshaw, Dan [R-TX2, 2019-2026], Ellzey, Jake [R-TX6, 2021-2026], Gosar, Paul [R-AZ9, 2023-2026], Hudson, Richard [R-NC9, 2023-2026], LaMalfa, Doug [R-CA1, 2013-2026], Lamborn, Doug [R-CO5, 2007-2024], Moolenaar, John [R-MI2, 2023-2026], Mooney, Alexander [R-WV2, 2015-2024], Newhouse, Dan [R-WA4, 2015-2026], Pfluger, August [R-TX11, 2021-2026], Rose, John W. [R-TN6, 2019-2026], Weber, Randy [R-TX14, 2013-2026], Wilson, Joe [R-SC2, 2001-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], Fallon, Patrick “Pat” [R-TX4, 2021-2026], Stefanik, Elise [R-NY21, 2015-2026], Boebert, Lauren [R-CO3, 2021-2024], Sessions, Pete [R-TX17, 2021-2026], LaTurner, Jacob “Jake” [R-KS2, 2021-2024], Scott, Austin [R-GA8, 2011-2026], De La Cruz, Mónica [R-TX15, 2023-2026], Donalds, Byron [R-FL19, 2021-2026], Reschenthaler, Guy [R-PA14, 2019-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr385,House Judiciary,,Introduced,"Last Action: Apr 1, 2022",", H.R. 7366 (117th)",Taxation
HR386,H.R. 386 (118th): Mount Rushmore Protection Act,"To provide that no Federal funds shall be used to alter, change, destroy, or remove, in whole or in part, any name, face, or other feature on the Mount Rushmore National Memorial.",Dusty Johnson,Cosponsors,"Johnson, Dusty [R-SD, 2019-2026], LaMalfa, Doug [R-CA1, 2013-2026], Radewagen, Aumua Amata [R-AS, 2015-2026], Bentz, Cliff [R-OR2, 2021-2026], Banks, Jim [R-IN3, 2017-2024], Guest, Michael [R-MS3, 2019-2026], Mace, Nancy [R-SC1, 2021-2026], Mooney, Alexander [R-WV2, 2015-2024], Nehls, Troy [R-TX22, 2021-2026], Stewart, Chris [R-UT2, 2013-2023], Tenney, Claudia [R-NY24, 2023-2026], Curtis, John [R-UT3, 2017-2024], Moylan, James (Jim) [R-GU, 2023-2026], Owens, Clarence “Burgess” [R-UT4, 2021-2026], Smith, Adrian [R-NE3, 2007-2026], Moore, Barry [R-AL2, 2021-2024], Jackson, Ronny [R-TX13, 2021-2026], Donalds, Byron [R-FL19, 2021-2026], Lawler, Michael [R-NY17, 2023-2026], Rouzer, David [R-NC7, 2015-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr386,"House Natural Resources, ↪, Federal Lands",,Introduced,"Last Action: Aug 19, 2022",", H.R. 8734 (117th)","Public Lands and Natural Resources, Monuments and memorials, Presidents and presidential powers, Vice Presidents, South Dakota, show 1 more, U.S. history, show less"
HR387,H.R. 387 (118th): District of Columbia Prosecutor Home Rule Act,To assign the responsibility for conducting prosecutions for violations of the laws of the District of Columbia to the head of a local prosecutor's office designated under local law of the District of Columbia.,Eleanor Holmes Norton,N/A,"Norton, Eleanor [D-DC, 1991-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr387,House Oversight and Government Reform,Government Operations and Politics,N/A,N/A,N/A,"Government Operations and Politics, Congressional oversight, Criminal investigation, prosecution, interrogation, Criminal procedure and sentencing, show 6 more, District of Columbia, Government employee pay, benefits, personnel management, Intergovernmental relations, Law enforcement administration and funding, Legislative rules and procedure, State and local government operations, show less"
HR388,H.R. 388 (118th): Securities and Exchange Commission Real Estate Leasing Authority Revocation Act,"To amend title 40, United States Code, to eliminate the leasing authority of the Securities and Exchange Commission, and for other purposes.",Eleanor Holmes Norton,N/A,"Norton, Eleanor [D-DC, 1991-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Passed House (Senate next) (Jan 13, 2025)",N/A,https://www.govtrack.us/congress/bills/118/hr388,House Transportation and Infrastructure,,Passed House (Senate next),"Last Action: Sep 14, 2022",", H.R. 1468 (117th)","Government Operations and Politics, Administrative law and regulatory procedures, Government buildings, facilities, and property, Lease and rental services, show 2 more, Public contracts and procurement, Securities and Exchange Commission (SEC), show less"
HR389,H.R. 389 (118th): PORTFOLIO Act,"To amend the Ethics in Government Act of 1978 to restrict trading and ownership of covered investments by each Federal employee, and for other purposes.",David Schweikert,N/A,"Schweikert, David [R-AZ1, 2023-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr389,House House Administration,,Introduced,"Last Action: Oct 21, 2022",", H.R. 9216 (117th)","Government Operations and Politics, Advanced technology and technological innovations, Civil actions and liability, Commodities markets, show 14 more, Computers and information technology, Congressional officers and employees, Congressional oversight, Currency, Digital media, Family relationships, Federal officials, Financial services and investments, Government employee pay, benefits, personnel management, Government ethics and transparency, public corruption, Government information and archives, Postal service, Presidents and presidential powers, Vice Presidents, Securities, show less"
HR390,H.R. 390 (118th): Maurice D. Hinchey Hudson River Valley National Heritage Area Enhancement Act,To amend the Hudson River Valley National Heritage Area Act of 1996 (Public Law 104-333; 54 U.S.C. 320101 note) to include all of Saratoga and Washington Counties in the boundaries of the Hudson River Valley National Heritage Area.,Elise Stefanik,Cosponsors,"Stefanik, Elise [R-NY21, 2015-2026], Tonko, Paul [D-NY20, 2013-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Passed House (Senate next) (Dec 04, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hr390,"House Natural Resources, ↪, Federal Lands",House Vote on Passage,"On Motion to Suspend the Rules and Pass, as Amended","Dec 4, 2024 4:56 p.m.",", H.R. 5670 (117th)","Public Lands and Natural Resources, Historic sites and heritage areas, New York State"
HR391,H.R. 391 (118th): Safe Bases Act,To direct the Secretary of Defense to establish an authority to issue permits to certain members of the Armed Forces who seek to carry concealed firearms while on military installations.,Gregory Steube,Cosponsors,"Steube, Gregory [R-FL17, 2019-2026], Bishop, Dan [R-NC8, 2023-2024], Duncan, Jeff [R-SC3, 2011-2024]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr391,House Armed Services,,Introduced,"Last Action: Feb 11, 2021",", H.R. 1027 (117th)",Armed Forces and National Security
HR392,H.R. 392 (118th): Religious Insignia on Dog Tags Act,"To direct the Secretary of Defense to revise and update the Department of Defense regulations to allow trademarks owned or controlled by the Department of Defense to be combined with religious insignia on commercial identification tags (commonly known as ""dog tags"") and to be sold by lawful trademark licensees, and for other purposes.",Gregory Steube,Cosponsors,"Steube, Gregory [R-FL17, 2019-2026], Duncan, Jeff [R-SC3, 2011-2024], Waltz, Michael [R-FL6, 2019-2025], Good, Robert “Bob” [R-VA5, 2021-2024]","Jan 17, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Jan 15, 2025)",N/A,https://www.govtrack.us/congress/bills/118/hr392,House Armed Services,,Introduced,"Last Action: Feb 11, 2021",", H.R. 1028 (117th)","Armed Forces and National Security, Administrative law and regulatory procedures, Department of Defense, Intellectual property, show 3 more, Licensing and registrations, Religion, Retail and wholesale trades, show less"
HR393,H.R. 393 (118th): Modern GI Bill Act,"To amend title 38, United States Code, to allow individuals who are entitled to Post-9/11 educational assistance to use such assistance to repay Federal student loans.",Gregory Steube,Cosponsors,"Steube, Gregory [R-FL17, 2019-2026], Reschenthaler, Guy [R-PA14, 2019-2026], Wittman, Robert [R-VA1, 2007-2026], Gaetz, Matt [R-FL1, 2017-2024]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr393,"House Veterans' Affairs, ↪, Economic Opportunity",,Introduced,"Last Action: Jan 19, 2021",", H.R. 359 (117th)","Armed Forces and National Security, Government lending and loan guarantees, Higher education, Student aid and college costs, show 1 more, Veterans' education, employment, rehabilitation, show less"
HR394,H.R. 394 (118th): Veterans Cannabis Use for Safe Healing Act,"To prohibit the Secretary of Veterans Affairs from denying a veteran benefits administered by the Secretary by reason of the veteran participating in a State-approved marijuana program, and for other purposes.",Gregory Steube,Cosponsors,"Steube, Gregory [R-FL17, 2019-2026], Mace, Nancy [R-SC1, 2021-2026], Cohen, Steve [D-TN9, 2007-2026], Titus, Dina [D-NV1, 2013-2026], Gaetz, Matt [R-FL1, 2017-2024], Vasquez, Gabriel (Gabe) [D-NM2, 2023-2026], Panetta, Jimmy [D-CA19, 2023-2026], Phillips, Dean [D-MN3, 2019-2024], Spanberger, Abigail [D-VA7, 2019-2024]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr394,"House Veterans' Affairs, ↪, Health",,Introduced,"Last Action: Jan 21, 2021",", H.R. 430 (117th)","Armed Forces and National Security, Drug, alcohol, tobacco use, Health care coverage and access, Health information and medical records, show 2 more, Veterans' medical care, Veterans' pensions and compensation, show less"
HR395,H.R. 395 (118th): Time of Service Act,"To amend title 38, United States Code, to eliminate the time limitation for the use of entitlement by certain veterans under the Post-9/11 Educational Assistance Program of the Department of Veterans Affairs.",Gregory Steube,Cosponsors,"Steube, Gregory [R-FL17, 2019-2026], Tiffany, Thomas [R-WI7, 2020-2026]","Jan 17, 2023 118 th Congress (2023–2025)","Introduced (Jan 17, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr395,"House Veterans' Affairs, ↪, Economic Opportunity",,Introduced,"Last Action: Mar 17, 2021",", H.R. 1989 (117th)","Armed Forces and National Security, Higher education, Student aid and college costs, Veterans' education, employment, rehabilitation"
